hop	package	version	architecture	source_package	filename	repository_host	suite	component	size_bytes	sha256	original_url	final_url	requested	downloaded	installed	evidence_source
jammy-to-noble	libfribidi0	1.0.13-3build1	amd64	fribidi	libfribidi0_1.0.13-3build1_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	26150	6cd50259d39ce0dfafee2632c6268538e6a02590e77161a133e9683af346dd1d	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/f/fribidi/libfribidi0_1.0.13-3build1_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/f/fribidi/libfribidi0_1.0.13-3build1_amd64.deb	true	true	true	proxy_access_log
jammy-to-noble	logrotate	3.21.0-2build1	amd64	logrotate	logrotate_3.21.0-2build1_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	52212	e609ad80a9cec135b404a84f99d9d87bc304800eb212702444a985527edba70c	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/l/logrotate/logrotate_3.21.0-2build1_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/l/logrotate/logrotate_3.21.0-2build1_amd64.deb	true	true	true	proxy_access_log
jammy-to-noble	netcat-openbsd	1.226-1ubuntu2	amd64	netcat-openbsd	netcat-openbsd_1.226-1ubuntu2_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	44292	b2b837c2f9939aeda64ddb410c47c5ceee3034cf2157939ed7efdee51961aac4	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/n/netcat-openbsd/netcat-openbsd_1.226-1ubuntu2_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/n/netcat-openbsd/netcat-openbsd_1.226-1ubuntu2_amd64.deb	true	true	true	proxy_access_log
jammy-to-noble	networkd-dispatcher	2.2.4-1	all	networkd-dispatcher	networkd-dispatcher_2.2.4-1_all.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	15504	c85838253a613f36d7ad7b5958d576100845e1e2e458ce3b64d4d0f44e0a9849	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/n/networkd-dispatcher/networkd-dispatcher_2.2.4-1_all.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/n/networkd-dispatcher/networkd-dispatcher_2.2.4-1_all.deb	true	true	true	proxy_access_log
jammy-to-noble	python3-mdurl	0.1.2-1	all	mdurl	python3-mdurl_0.1.2-1_all.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	9702	3928a9da97dcdb2985c9a3cc2ca320e90322481ca3a81f84e896337dc25c0ee6	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/m/mdurl/python3-mdurl_0.1.2-1_all.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/m/mdurl/python3-mdurl_0.1.2-1_all.deb	true	true	true	proxy_access_log
jammy-to-noble	python3-markdown-it	3.0.0-2	all	markdown-it-py	python3-markdown-it_3.0.0-2_all.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	57466	a3b8f3af7976d0080bad904e3022601828889a2329c8420215c63e66ba74b7db	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/m/markdown-it-py/python3-markdown-it_3.0.0-2_all.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/m/markdown-it-py/python3-markdown-it_3.0.0-2_all.deb	true	true	true	proxy_access_log
jammy-to-noble	python3-pygments	2.17.2%2bdfsg-1	all	python3-pygments	python3-pygments_2.17.2%2bdfsg-1_all.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	819086	c26c308f21f99cd7543bc71e9a31cebff8a1eb0077b02800b73bf43dfd616ad0	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/p/pygments/python3-pygments_2.17.2%2bdfsg-1_all.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/p/pygments/python3-pygments_2.17.2%2bdfsg-1_all.deb	true	true	true	proxy_access_log
jammy-to-noble	python3-rich	13.7.1-1	all	rich	python3-rich_13.7.1-1_all.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	189238	d2a2328cf69b70016b62db88bb60bd567c2231fcbe697f3f397ca206b7d056c8	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/r/rich/python3-rich_13.7.1-1_all.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/r/rich/python3-rich_13.7.1-1_all.deb	true	true	true	proxy_access_log
jammy-to-noble	rsyslog	8.2312.0-3ubuntu9.3	amd64	rsyslog	rsyslog_8.2312.0-3ubuntu9.3_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	511336	d862db007a9edd4570f031d98b15ab21083e49fac34f11b6e247ee0ca8476292	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/r/rsyslog/rsyslog_8.2312.0-3ubuntu9.3_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/r/rsyslog/rsyslog_8.2312.0-3ubuntu9.3_amd64.deb	true	true	true	proxy_access_log
jammy-to-noble	sudo	1.9.15p5-3ubuntu5.24.04.2	amd64	sudo	sudo_1.9.15p5-3ubuntu5.24.04.2_amd64.deb	ap-northeast-2.ec2.archive.ubuntu.com		main	948024	d5361d4021dc7cb60d49b94b186ba908c10e9e38f33a55cba049175411eb1251	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/s/sudo/sudo_1.9.15p5-3ubuntu5.24.04.2_amd64.deb	http://ap-northeast-2.ec2.archive.ubuntu.com/ubuntu/pool/main/s/sudo/sudo_1.9.15p5-3ubuntu5.24.04.2_amd64.deb	true	true	true	proxy_access_log
