hop	package	version	architecture	component	suite	pocket	filename	relative_pool_path	size_bytes	sha256	original_url	acquisition_source	seed_local_path	profile	provenance
jammy-to-noble	linux-aws	7.0.0-1011.11~24.04.1	amd64	main	noble-updates	updates	linux-aws_7.0.0-1011.11~24.04.1_amd64.deb	pool/main/l/linux-meta-aws-7.0/linux-aws_7.0.0-1011.11~24.04.1_amd64.deb	1732	80d4952185254d8c3eeca148c426dc57a8c421080731378b90803b045a9f70f0	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-meta-aws-7.0/linux-aws_7.0.0-1011.11~24.04.1_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	linux-image-aws	7.0.0-1011.11~24.04.1	amd64	main	noble-updates	updates	linux-image-aws_7.0.0-1011.11~24.04.1_amd64.deb	pool/main/l/linux-meta-aws-7.0/linux-image-aws_7.0.0-1011.11~24.04.1_amd64.deb	2370	257cc613057cbc4b7f7659943627ebdbcffcd42228520be29af40849236b862c	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-meta-aws-7.0/linux-image-aws_7.0.0-1011.11~24.04.1_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	linux-aws-7.0-headers-7.0.0-1011	7.0.0-1011.11~24.04.1	all	main	noble-updates	updates	linux-aws-7.0-headers-7.0.0-1011_7.0.0-1011.11~24.04.1_all.deb	pool/main/l/linux-aws-7.0/linux-aws-7.0-headers-7.0.0-1011_7.0.0-1011.11~24.04.1_all.deb	14821132	22d56d0544ec20bfc879e575f8f77b530ea7de1d6b00bc0842140a717b864618	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-aws-7.0/linux-aws-7.0-headers-7.0.0-1011_7.0.0-1011.11~24.04.1_all.deb	downloaded		aws	profile=aws
jammy-to-noble	linux-headers-7.0.0-1011-aws	7.0.0-1011.11~24.04.1	amd64	main	noble-updates	updates	linux-headers-7.0.0-1011-aws_7.0.0-1011.11~24.04.1_amd64.deb	pool/main/l/linux-aws-7.0/linux-headers-7.0.0-1011-aws_7.0.0-1011.11~24.04.1_amd64.deb	3917234	bd2f1dd31d392bcf92ee4af8af90c4cb390b4876ef6f3580cef35997b0e06cc5	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-aws-7.0/linux-headers-7.0.0-1011-aws_7.0.0-1011.11~24.04.1_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	linux-headers-aws	7.0.0-1011.11~24.04.1	amd64	main	noble-updates	updates	linux-headers-aws_7.0.0-1011.11~24.04.1_amd64.deb	pool/main/l/linux-meta-aws-7.0/linux-headers-aws_7.0.0-1011.11~24.04.1_amd64.deb	2284	b137b8f30b7251251c43f324c15474bdf68604c8adf4ead142679e5237409b5b	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-meta-aws-7.0/linux-headers-aws_7.0.0-1011.11~24.04.1_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	linux-tools-common	6.8.0-138.138	all	main	noble-updates	updates	linux-tools-common_6.8.0-138.138_all.deb	pool/main/l/linux/linux-tools-common_6.8.0-138.138_all.deb	362536	557be625abea935b5b6cd9cc9ba5ddcd3ffbe030ce01e26c5b8f919dc9d7a230	http://archive.ubuntu.com/ubuntu/pool/main/l/linux/linux-tools-common_6.8.0-138.138_all.deb	downloaded		aws	profile=aws
jammy-to-noble	linux-aws-7.0-tools-7.0.0-1011	7.0.0-1011.11~24.04.1	amd64	main	noble-updates	updates	linux-aws-7.0-tools-7.0.0-1011_7.0.0-1011.11~24.04.1_amd64.deb	pool/main/l/linux-aws-7.0/linux-aws-7.0-tools-7.0.0-1011_7.0.0-1011.11~24.04.1_amd64.deb	6387366	0d7c5d434b51398cc84d41346e90bbac704877a513f9c40f73cfffa29f53bccf	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-aws-7.0/linux-aws-7.0-tools-7.0.0-1011_7.0.0-1011.11~24.04.1_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	linux-aws-headers-6.8.0-1063	6.8.0-1063.66	all	main	noble-updates	updates	linux-aws-headers-6.8.0-1063_6.8.0-1063.66_all.deb	pool/main/l/linux-aws/linux-aws-headers-6.8.0-1063_6.8.0-1063.66_all.deb	13579230	ee27f93e00568e36672dff09c3b67df480ffa418f3e1ac67940901ea50702418	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-aws/linux-aws-headers-6.8.0-1063_6.8.0-1063.66_all.deb	downloaded		aws	profile=aws
jammy-to-noble	linux-aws-tools-6.8.0-1063	6.8.0-1063.66	amd64	main	noble-updates	updates	linux-aws-tools-6.8.0-1063_6.8.0-1063.66_amd64.deb	pool/main/l/linux-aws/linux-aws-tools-6.8.0-1063_6.8.0-1063.66_amd64.deb	3808202	bdc429c0307d32aa989a0fa862b0f501cb2a1bb5c28555682b2143e3bade1317	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-aws/linux-aws-tools-6.8.0-1063_6.8.0-1063.66_amd64.deb	downloaded		aws	profile=aws
jammy-to-noble	linux-headers-6.8.0-1063-aws	6.8.0-1063.66	amd64	main	noble-updates	updates	linux-headers-6.8.0-1063-aws_6.8.0-1063.66_amd64.deb	pool/main/l/linux-aws/linux-headers-6.8.0-1063-aws_6.8.0-1063.66_amd64.deb	3429940	26bb0eca76bb012b952fc4b012d95225673bde869815108ac95284a71ea79076	http://archive.ubuntu.com/ubuntu/pool/main/l/linux-aws/linux-headers-6.8.0-1063-aws_6.8.0-1063.66_amd64.deb	downloaded		aws	profile=aws
